pair,event_type,lookback_window,session,volatility_regime,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,24,london,medium_vol,1,-1.1834223e-05,-1.822629e-05,-1.1834223e-05,0.00034377505,0.47533309,0.47533309,0.51854519,0.00036957373,0.00036628468,0.00044987494,2777,8.536972e-06,False
ALL,breakout_high,24,london,medium_vol,2,-2.1041976e-05,-2.5116162e-05,-2.1041976e-05,0.00048026904,0.4803745,0.4803745,0.51782499,0.00051365438,0.00051919366,0.00064266895,2777,1.2195493e-05,False
ALL,breakout_high,24,london,medium_vol,4,-1.5236719e-05,-2.4118761e-05,-1.5236719e-05,0.0006960348,0.48505582,0.48505582,0.51350378,0.00072703021,0.00073922969,0.00095363282,2777,1.8096444e-05,False
ALL,breakout_high,24,london,medium_vol,8,2.0541546e-05,-7.4008563e-06,2.0541546e-05,0.0010070793,0.49513864,0.49513864,0.50342096,0.0010497894,0.0010578197,0.0013554692,2777,2.5721821e-05,False
ALL,breakout_high,24,london,unknown,1,0.00013526354,2.0771107e-05,0.00013526354,0.00041406055,0.55932203,0.55932203,0.44067797,0.00053889806,0.00029901746,0.00052816634,59,6.87614e-05,False
ALL,breakout_high,24,london,unknown,2,0.00031631729,0.00024499896,0.00031631729,0.00067674158,0.61016949,0.61016949,0.38983051,0.00081784316,0.00042293281,0.00083632823,59,0.00010888066,False
ALL,breakout_high,24,london,unknown,4,0.00045401916,0.00041329655,0.00045401916,0.0010251172,0.6779661,0.6779661,0.3220339,0.0012207934,0.00057787625,0.0013215984,59,0.00017205746,False
ALL,breakout_high,24,london,unknown,8,0.00042587083,0.00037292078,0.00042587083,0.001381751,0.61016949,0.61016949,0.38983051,0.0016045185,0.00086964973,0.00173465,59,0.0002258322,False
ALL,breakout_high,24,new_york,high_vol,1,-1.4873512e-05,-3.5152268e-05,-1.4873512e-05,0.00056158143,0.46181724,0.46181724,0.53093451,0.00055233935,0.00055303341,0.00098718807,3863,1.5883183e-05,False
ALL,breakout_high,24,new_york,high_vol,2,-3.2921382e-05,-3.2121585e-05,-3.2921382e-05,0.00078521656,0.47372508,0.47372508,0.52342739,0.00076567665,0.00079620938,0.0012392238,3863,1.9938266e-05,False
ALL,breakout_high,24,new_york,high_vol,4,-6.7095801e-05,-6.427768e-05,-6.7095801e-05,0.0010799698,0.47346622,0.47346622,0.52498059,0.0010514272,0.0011162153,0.0016359748,3863,2.632172e-05,False
