pair,event_type,lookback_window,session,range_regime,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,24,london,normal,2,-8.9841128e-05,-4.9703361e-05,-8.9841128e-05,0.00052655381,0.46240487,0.46240487,0.53363775,0.00051813845,0.00060052205,0.00071675354,3285,1.2505532e-05,False
ALL,breakout_high,24,london,normal,4,-0.00011138246,-7.0233967e-05,-0.00011138246,0.00072447447,0.46179604,0.46179604,0.5348554,0.00071765996,0.00085069892,0.00095359895,3285,1.6637883e-05,False
ALL,breakout_high,24,london,normal,8,-0.00014300686,-8.4900855e-05,-0.00014300686,0.0010350016,0.46636225,0.46636225,0.53089802,0.0010195308,0.0012074189,0.0013891658,3285,2.423742e-05,False
ALL,breakout_high,24,london,unknown,1,7.1090957e-05,-1.3146112e-05,7.1090957e-05,0.00030450672,0.5,0.5,0.5,0.00033527738,0.00024241308,0.0004004398,30,7.310997e-05,False
ALL,breakout_high,24,london,unknown,2,0.00011635202,0.00014364287,0.00011635202,0.0004574736,0.53333333,0.53333333,0.46666667,0.00051952378,0.0003629489,0.00058013583,30,0.00010591783,False
ALL,breakout_high,24,london,unknown,4,0.00028804366,0.00028357811,0.00028804366,0.0006584485,0.7,0.7,0.3,0.00082526447,0.00047229521,0.00077951493,30,0.0001423193,False
ALL,breakout_high,24,london,unknown,8,0.00042243659,0.0004663355,0.00042243659,0.0010159259,0.63333333,0.63333333,0.36666667,0.0012730702,0.00067838908,0.0011803834,30,0.00021550755,False
ALL,breakout_high,24,new_york,compressed,1,-8.4934951e-05,-7.4566259e-05,-8.4934951e-05,0.00032279926,0.39332707,0.39332707,0.60103383,0.00027866851,0.00038067387,0.0004791261,2128,1.0386376e-05,False
ALL,breakout_high,24,new_york,compressed,2,-0.00014264589,-0.00010368564,-0.00014264589,0.00043707808,0.38909774,0.38909774,0.60620301,0.00037045085,0.00054213991,0.00063110343,2128,1.3680902e-05,False
ALL,breakout_high,24,new_york,compressed,4,-0.0002173649,-0.00018003249,-0.0002173649,0.00060303313,0.36983083,0.36983083,0.6268797,0.00050100237,0.00076605146,0.00084142195,2128,1.8240134e-05,False
ALL,breakout_high,24,new_york,compressed,8,-0.00029703867,-0.00024048265,-0.00029703867,0.00078753549,0.35855263,0.35855263,0.64003759,0.00066051926,0.0010552169,0.0010812658,2128,2.3439408e-05,False
ALL,breakout_high,24,new_york,expanded,1,4.5404804e-05,5.9246764e-06,4.5404804e-05,0.00049368865,0.50370693,0.50370693,0.4912778,0.0005310134,0.00045677027,0.00089127255,4586,1.316114e-05,False
ALL,breakout_high,24,new_york,expanded,2,7.5869907e-05,2.3018298e-05,7.5869907e-05,0.00068316614,0.51635412,0.51635412,0.48168338,0.00074385855,0.00064109833,0.0011123929,4586,1.6426355e-05,False
ALL,breakout_high,24,new_york,expanded,4,0.00012006108,7.3761073e-05,0.00012006108,0.00095645721,0.53903184,0.53903184,0.45878761,0.0010314543,0.00088432997,0.0014853799,4586,2.1934135e-05,False
ALL,breakout_high,24,new_york,expanded,8,0.00017725427,0.00013306579,0.00017725427,0.0013170614,0.5440471,0.5440471,0.45420846,0.0014026961,0.0011826681,0.0019774758,4586,2.920076e-05,False
ALL,breakout_high,24,new_york,normal,1,-4.4633433e-05,-3.6345959e-05,-4.4633433e-05,0.00037679645,0.45259559,0.45259559,0.53932235,0.00035572298,0.00040454644,0.00055373579,3217,9.7628601e-06,False
ALL,breakout_high,24,new_york,normal,2,-8.4452664e-05,-5.8156864e-05,-8.4452664e-05,0.00052248586,0.45197389,0.45197389,0.54460678,0.00048725806,0.000582336,0.0007615656,3217,1.3427087e-05,False
ALL,breakout_high,24,new_york,normal,4,-0.000143026,-0.00010886666,-0.000143026,0.00069695552,0.43425552,0.43425552,0.56419024,0.00065872986,0.00081198793,0.00099495467,3217,1.7541946e-05,False
ALL,breakout_high,24,new_york,normal,8,-0.00021735528,-0.00016145699,-0.00021735528,0.00092015263,0.42493006,0.42493006,0.5741374,0.0008536856,0.0011052776,0.0013090614,3217,2.3079931e-05,False
ALL,breakout_high,24,new_york,unknown,1,-0.00013413202,-9.3053346e-05,-0.00013413202,0.00030785334,0.31578947,0.31578947,0.68421053,0.00026261616,0.00042254343,0.00044326038,19,0.0001016909,True
ALL,breakout_high,24,new_york,unknown,2,-0.00023190162,-0.00021364193,-0.00023190162,0.00043688585,0.42105263,0.42105263,0.57894737,0.00033212216,0.00062431138,0.0005371993,19,0.00012324197,True
ALL,breakout_high,24,new_york,unknown,4,-0.00030815776,-0.00041040182,-0.00030815776,0.00065188166,0.26315789,0.26315789,0.73684211,0.0004266603,0.00082727231,0.00073031824,19,0.00016754649,True
ALL,breakout_high,24,new_york,unknown,8,-0.00038838511,-0.0002658667,-0.00038838511,0.0007507701,0.31578947,0.31578947,0.68421053,0.00052417669,0.00098897572,0.00089691053,19,0.00020576539,True
ALL,breakout_high,48,asia,compressed,1,-8.4372764e-05,-6.714628e-05,-8.4372764e-05,0.00023462352,0.36046512,0.36046512,0.63139535,0.00020256356,0.0002938688,0.00032408037,860,1.1051049e-05,False
ALL,breakout_high,48,asia,compressed,2,-0.00012443383,-0.00011079425,-0.00012443383,0.00033361008,0.36627907,0.36627907,0.63023256,0.00027644585,0.00043313632,0.00045531461,860,1.5526099e-05,False
ALL,breakout_high,48,asia,compressed,4,-0.00020258752,-0.0001754499,-0.00020258752,0.0004759145,0.3255814,0.3255814,0.67093023,0.00037560639,0.00062957293,0.00067540443,860,2.30311e-05,False
ALL,breakout_high,48,asia,compressed,8,-0.00029606054,-0.00024587737,-0.00029606054,0.00067325964,0.33953488,0.33953488,0.65813953,0.00051994192,0.00093092089,0.00096993371,860,3.3074465e-05,False
ALL,breakout_high,48,asia,expanded,1,4.9253001e-05,2.1128174e-05,4.9253001e-05,0.00039021255,0.52010157,0.52010157,0.47735929,0.00042836664,0.00035557085,0.00060984806,2363,1.2545552e-05,False
ALL,breakout_high,48,asia,expanded,2,7.7986859e-05,4.274249e-05,7.7986859e-05,0.00053613106,0.52983496,0.52983496,0.46677952,0.00060542918,0.00048927426,0.00082217961,2363,1.6913553e-05,False
ALL,breakout_high,48,asia,expanded,4,8.3588859e-05,4.1739518e-05,8.3588859e-05,0.0007539926,0.52137114,0.52137114,0.4769361,0.00084697361,0.00069960765,0.0011936816,2363,2.4555945e-05,False
ALL,breakout_high,48,asia,expanded,8,6.9096718e-05,0.00010494247,6.9096718e-05,0.0011616167,0.5416843,0.5416843,0.45619975,0.0012067961,0.0010731321,0.0020382719,2363,4.1930522e-05,False
ALL,breakout_high,48,asia,normal,1,-5.2150324e-05,-4.3680084e-05,-5.2150324e-05,0.00027737471,0.43043933,0.43043933,0.56328452,0.00026246148,0.00031112112,0.00039166032,1912,8.957063e-06,False
ALL,breakout_high,48,asia,normal,2,-8.9520521e-05,-7.5012957e-05,-8.9520521e-05,0.00038490078,0.41474895,0.41474895,0.58054393,0.00035831234,0.00045395451,0.00053338266,1912,1.2198178e-05,False
