pair,event_type,lookback_window,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
EURUSD,sweep_high,48,2,-1.5282419e-05,-2.2996693e-05,-1.5282419e-05,0.00052313271,0.48130535,0.48130535,0.51541489,0.00052128541,0.00052521421,0.00080371983,6098,1.0292265e-05,False
EURUSD,sweep_high,48,4,-3.2898246e-05,-1.3331918e-05,-3.2898246e-05,0.00073745505,0.49016071,0.49016071,0.50705149,0.00072644151,0.00075762472,0.0011035522,6098,1.4131855e-05,False
EURUSD,sweep_high,48,8,-6.405243e-05,-3.3061725e-05,-6.405243e-05,0.0010219873,0.48655297,0.48655297,0.51147917,0.001003295,0.0010863878,0.0015021878,6098,1.9236698e-05,False
EURUSD,sweep_high,96,1,-2.2053752e-06,-1.838845e-05,-2.2053752e-06,0.00039914381,0.47736057,0.47736057,0.51711761,0.0003928686,0.00038713667,0.00062536289,3622,1.0391013e-05,False
EURUSD,sweep_high,96,2,-2.2337053e-05,-3.1692627e-05,-2.2337053e-05,0.00055564918,0.4765323,0.4765323,0.52098288,0.00054807518,0.00055594967,0.0008581839,3622,1.425956e-05,False
EURUSD,sweep_high,96,4,-3.5300673e-05,-2.7495824e-05,-3.5300673e-05,0.0007800945,0.48371066,0.48371066,0.51352844,0.00076080265,0.00078773408,0.0011665357,3622,1.9383125e-05,False
EURUSD,sweep_high,96,8,-7.4314277e-05,-4.5282689e-05,-7.4314277e-05,0.0010427141,0.48260629,0.48260629,0.51628934,0.0010325755,0.0011094841,0.0015574782,3622,2.5879016e-05,False
EURUSD,sweep_low,24,1,2.8229157e-06,1.3230259e-05,-2.8229157e-06,0.00035482565,0.51396336,0.48067471,0.51396336,0.00035541168,0.00034247617,0.00054430657,8952,5.7528565e-06,False
EURUSD,sweep_low,24,2,5.4218992e-06,2.2624288e-05,-5.4218992e-06,0.00048352869,0.51876676,0.47788204,0.51876676,0.00049949891,0.00048610602,0.00072064279,8952,7.61658e-06,False
EURUSD,sweep_low,24,4,6.6661605e-06,2.8687389e-05,-6.6661605e-06,0.00067778677,0.51843164,0.47855228,0.51843164,0.00070216196,0.00068828574,0.00099761164,8952,1.0543905e-05,False
EURUSD,sweep_low,24,8,9.973908e-06,3.6876278e-05,-9.973908e-06,0.00096014408,0.51452189,0.48402592,0.51452189,0.0009890544,0.00097696658,0.0014180656,8952,1.4987745e-05,False
EURUSD,sweep_low,48,1,-3.524605e-06,1.3859001e-05,3.524605e-06,0.00038915324,0.51536492,0.47951344,0.51536492,0.00039209224,0.00037270352,0.00058675657,6248,7.4231366e-06,False
EURUSD,sweep_low,48,2,-3.0374406e-06,2.0404802e-05,3.0374406e-06,0.00053357899,0.51440461,0.48367478,0.51440461,0.00055346609,0.00052911005,0.00077859129,6248,9.8500635e-06,False
EURUSD,sweep_low,48,4,-7.0029408e-06,2.9075137e-05,7.0029408e-06,0.00074079523,0.51712548,0.48047375,0.51712548,0.0007780926,0.00074657112,0.0010792948,6248,1.3654305e-05,False
EURUSD,sweep_low,48,8,-3.2948272e-06,3.8137933e-05,3.2948272e-06,0.0010519001,0.51360435,0.48511524,0.51360435,0.0010855022,0.0010572999,0.0015313408,6248,1.9373199e-05,False
EURUSD,sweep_low,96,1,-1.2558167e-05,9.0015888e-06,1.2558167e-05,0.00040888272,0.50811228,0.48596446,0.50811228,0.00041303449,0.00038449495,0.00062721608,3883,1.0065457e-05,False
EURUSD,sweep_low,96,2,-1.8519528e-05,1.4207034e-05,1.8519528e-05,0.000550861,0.51068761,0.48725212,0.51068761,0.00058014826,0.00053690517,0.00080052137,3883,1.2846631e-05,False
EURUSD,sweep_low,96,4,-2.293978e-05,1.8525122e-05,2.293978e-05,0.00076007923,0.51094515,0.48725212,0.51094515,0.00080088407,0.00074768251,0.0011010527,3883,1.7669506e-05,False
EURUSD,sweep_low,96,8,-7.7614027e-06,3.3393919e-05,7.7614027e-06,0.0010502606,0.50991501,0.48879732,0.50991501,0.0010924818,0.0010466047,0.0015362755,3883,2.4653887e-05,False
GBPUSD,breakout_high,24,1,-1.4677527e-05,-2.8044984e-05,-1.4677527e-05,0.00042855032,0.46368234,0.46368234,0.53287421,0.00043338503,0.0004366109,0.00069391557,9293,7.1982788e-06,False
GBPUSD,breakout_high,24,2,-2.1144874e-05,-4.2449244e-05,-2.1144874e-05,0.00059831134,0.46615732,0.46615732,0.5313677,0.00060642449,0.00061273893,0.0009330841,9293,9.6792748e-06,False
GBPUSD,breakout_high,24,4,-4.0937275e-05,-5.7345807e-05,-4.0937275e-05,0.00083623937,0.46701819,0.46701819,0.53126009,0.00084719652,0.0008714006,0.0012801364,9293,1.3279395e-05,False
GBPUSD,breakout_high,24,8,-5.5741537e-05,-5.5084062e-05,-5.5741537e-05,0.0011659894,0.47713333,0.47713333,0.52136016,0.0011712884,0.0012235275,0.0017302967,9293,1.7949097e-05,False
GBPUSD,breakout_high,48,1,-2.3387733e-05,-3.2169986e-05,-2.3387733e-05,0.00045501834,0.46140862,0.46140862,0.53536903,0.00046416908,0.00047094161,0.00070432212,6517,8.724639e-06,False
GBPUSD,breakout_high,48,2,-3.2685194e-05,-4.3762109e-05,-3.2685194e-05,0.00063725684,0.46739297,0.46739297,0.53030536,0.00064344201,0.00065896101,0.00096331505,6517,1.1932858e-05,False
GBPUSD,breakout_high,48,4,-5.223593e-05,-6.1409751e-05,-5.223593e-05,0.00089030755,0.46631886,0.46631886,0.53245358,0.0008990154,0.00093616207,0.0013277775,6517,1.6447559e-05,False
GBPUSD,breakout_high,48,8,-7.9795319e-05,-7.7468192e-05,-7.9795319e-05,0.0012488594,0.47153598,0.47153598,0.52708301,0.001240957,0.0013160809,0.0018078435,6517,2.2394273e-05,False
GBPUSD,breakout_high,96,1,-1.6535947e-05,-2.6826604e-05,-1.6535947e-05,0.00046925822,0.46866485,0.46866485,0.52811494,0.00048722696,0.00048744711,0.00071560767,4037,1.126278e-05,False
GBPUSD,breakout_high,96,2,-2.5835049e-05,-3.5548393e-05,-2.5835049e-05,0.00065761273,0.46916027,0.46916027,0.52836265,0.00067329051,0.00067692421,0.0009820204,4037,1.5455787e-05,False
GBPUSD,breakout_high,96,4,-3.91939e-05,-6.4066373e-05,-3.91939e-05,0.00091733053,0.46816943,0.46816943,0.53059202,0.00093609022,0.00095092661,0.0013668947,4037,2.1513234e-05,False
GBPUSD,breakout_high,96,8,-5.6704325e-05,-5.5019422e-05,-5.6704325e-05,0.0012713583,0.47981174,0.47981174,0.51820659,0.0012849419,0.0013128389,0.0018392399,4037,2.8947363e-05,False
GBPUSD,breakout_low,24,1,2.3298044e-05,3.1491706e-05,-2.3298044e-05,0.00045826193,0.53158127,0.46499558,0.53158127,0.00046328794,0.00046185834,0.00077135601,9056,8.1056279e-06,False
GBPUSD,breakout_low,24,2,4.2662152e-05,6.7124831e-05,-4.2662152e-05,0.00064000469,0.54262367,0.45428445,0.54262367,0.00064217693,0.00065360434,0.00098681248,9056,1.0369706e-05,False
