pair,volatility_regime,sample_count,avg_vol_metric,avg_range,avg_abs_return,avg_signed_return,avg_efficiency,avg_clv,avg_session_realized_vol,vol_metric_std,vol_metric_se,low_sample
ALL,low_vol,5814,0.00027182767710929695,0.0027443985620077826,0.0014112314138211386,0.00020471449638799784,0.2100912584587241,0.5240991539416359,0.00027182767710929695,0.00010546813823910259,1.383196132777535e-06,False
ALL,medium_vol,5277,0.00041490248671347007,0.0044266077515298236,0.0023747246166705696,5.0962207822875246e-05,0.2110427602648359,0.5092243144578337,0.00041490248671347007,0.00013775502421125977,1.8963299331493222e-06,False
ALL,high_vol,5588,0.000680014126991229,0.006574220480022464,0.0035032013199166228,-0.00026903945075973444,0.22292204476666416,0.49775172705321963,0.000680014126991229,0.00036029613424571553,4.819826483992155e-06,False
EURUSD,low_vol,1958,0.00024085818525610857,0.0023006246261980555,0.0011711198211823166,1.4876675808115376e-05,0.2224312399954006,0.4957678563260724,0.00024085818525610857,9.345081723338344e-05,2.111916581057567e-06,False
EURUSD,medium_vol,1843,0.00037962697602473167,0.004036831767722562,0.0021571585343738656,-0.0001026886546201232,0.20930376178920718,0.4836608910669063,0.00037962697602473167,0.00011972887132018843,2.788921053810513e-06,False
EURUSD,high_vol,1873,0.0006098584755090146,0.005719118218920931,0.003050476933825604,-0.00014248816260555372,0.2228868251331011,0.48476035658242883,0.0006098584755090146,0.0002694684668105249,6.226429322361367e-06,False
GBPUSD,low_vol,1902,0.00029511847902208337,0.0029130405735570282,0.001482021362624119,6.906747629430262e-05,0.20665821568833456,0.5074877301091419,0.00029511847902208337,0.00010771438927831463,2.4698379936397967e-06,False
GBPUSD,medium_vol,1784,0.0004610340784323953,0.004965512373114709,0.0026984373280307316,-1.3183603019586465e-05,0.2155460194684923,0.5014281293325196,0.0004610340784323953,0.00013918134231903146,3.2952137843205798e-06,False
GBPUSD,high_vol,1883,0.0007561514454756646,0.007064359648056323,0.0037180183939775,-0.000236988390132175,0.21935748844677347,0.49159284557157695,0.0007561514454756646,0.00037210628806185066,8.575152436373754e-06,False
USDJPY,low_vol,1954,0.00028018958079938046,0.003024926842636636,0.0015829284536182443,0.0005269781017685598,0.20106769832590343,0.5686578074015525,0.00028018958079938046,0.00010725837481251273,2.4264365124892463e-06,False
USDJPY,medium_vol,1650,0.00040442612706061094,0.004279305505014277,0.0022677372303713554,0.0002919407932928133,0.20811619042923632,0.546207213593009,0.00040442612706061094,0.000141259053123459,3.477557492659067e-06,False
USDJPY,high_vol,1832,0.0006734829940872964,0.006944675983098564,0.003745260394530076,-0.0004313662574597754,0.22662184057671753,0.5173641783205365,0.0006734829940872964,0.0004104952533200203,9.590591761021074e-06,False
