scope,pair,volatility_regime,session,horizon_sessions,mean_forward_return,median_forward_return,mean_abs_forward_return,positive_return_fraction,forward_return_std,sample_count,forward_return_se,low_sample
pair_regime,EURUSD,high_vol,ALL,1,-0.00012026025327581031,-0.00013799229830498884,0.0038642215257551596,0.48691938067271756,0.005117230547716099,1873,0.00011824045577097694,False
pair_regime,EURUSD,high_vol,ALL,2,-8.619408381690598e-05,-3.148260586026873e-05,0.0030922443830935734,0.49599572877736253,0.004290504321464872,1873,9.91378406204062e-05,False
pair_regime,EURUSD,high_vol,ALL,4,-0.00019172732953800996,1.2701907403366273e-05,0.0037454697978634758,0.5018686599038975,0.005448127634987704,1873,0.00012588627552591168,False
pair_regime,EURUSD,high_vol,ALL,8,-0.0003662090421633462,-0.00016427764638724275,0.0055318911371671714,0.48664529914529914,0.007475779492059377,1872,0.00017278401463257832,False
pair_regime,EURUSD,low_vol,ALL,1,-8.782121009106398e-05,-3.9110166849745815e-05,0.0022044813656470004,0.49182839632277836,0.0030423307288288902,1958,6.87543341138319e-05,False
pair_regime,EURUSD,low_vol,ALL,2,-0.00013650938847339401,-4.9098594440873413e-05,0.0033207477927238264,0.4915687276443536,0.004744908298059408,1957,0.0001072586707982948,False
pair_regime,EURUSD,low_vol,ALL,4,-0.0001273671401054935,-0.00010529374849950573,0.003408755779000819,0.49003576903423607,0.004699336740342821,1957,0.00010622852555631236,False
pair_regime,EURUSD,low_vol,ALL,8,-0.0002612059724880917,-0.00023746120053603302,0.0053490729678220845,0.4813299232736573,0.0070361595246350855,1955,0.00015913374975168605,False
pair_regime,EURUSD,medium_vol,ALL,1,0.00015295766052112275,0.00011531732725159863,0.0030312817096086386,0.5162866449511401,0.004194001294614149,1842,9.772006501773935e-05,False
pair_regime,EURUSD,medium_vol,ALL,2,8.262541436545672e-05,2.8303930633860966e-05,0.0027748627013878193,0.503257328990228,0.003944666574460784,1842,9.191057585619432e-05,False
pair_regime,EURUSD,medium_vol,ALL,4,1.574176056069638e-05,3.922192320905491e-05,0.0032342602070212444,0.5081521739130435,0.004852595980171399,1840,0.00011312672709893621,False
pair_regime,EURUSD,medium_vol,ALL,8,2.689289441767245e-05,-9.987243566197405e-05,0.004926812237125219,0.4937466014138119,0.00658162736814085,1839,0.0001534766904614077,False
pair_regime,GBPUSD,high_vol,ALL,1,-1.8051649620936988e-06,4.471521038212371e-05,0.004927217298868406,0.5010626992561105,0.006899135155095317,1882,0.0001590321181581983,False
pair_regime,GBPUSD,high_vol,ALL,2,3.1987047110922006e-05,6.858568278292155e-05,0.0037355432481975624,0.5069075451647184,0.005563731343805807,1882,0.00012824969515419968,False
pair_regime,GBPUSD,high_vol,ALL,4,-2.602564573418094e-05,-9.560517336395214e-05,0.005099135351092218,0.4867162592986185,0.007830181462426505,1882,0.00018049368733022623,False
pair_regime,GBPUSD,high_vol,ALL,8,-0.0001093397024824683,-0.00015972943783494354,0.007209033809527704,0.4909574468085106,0.010527189032275074,1880,0.00024279151037732885,False
pair_regime,GBPUSD,low_vol,ALL,1,-7.066896385986057e-05,-9.215478291861404e-05,0.002637404891283698,0.48580441640378547,0.003622338692656944,1902,8.305844547694785e-05,False
pair_regime,GBPUSD,low_vol,ALL,2,-0.00013171116942190293,-6.826944152016519e-05,0.0041921895623214635,0.49237243556023147,0.005948140475359704,1901,0.00013642380495325365,False
pair_regime,GBPUSD,low_vol,ALL,4,-0.00010188888167924511,2.3273494592943897e-05,0.00404748261847054,0.5013150973172015,0.005593113152839342,1901,0.00012828106212442616,False
pair_regime,GBPUSD,low_vol,ALL,8,1.6116189411569707e-05,-0.00019240434755279633,0.006485026503588915,0.4892048446550816,0.00853116886684499,1899,0.00019576996182762326,False
pair_regime,GBPUSD,medium_vol,ALL,1,6.788511166864517e-05,0.0001117397224831532,0.0036653112584089788,0.5100896860986547,0.004954854166393115,1784,0.00011730957236330862,False
pair_regime,GBPUSD,medium_vol,ALL,2,4.707149907711296e-05,0.00012647567964931065,0.0032672664394938307,0.5112107623318386,0.004887898390049229,1784,0.0001157243484139482,False
pair_regime,GBPUSD,medium_vol,ALL,4,-1.0997422503264537e-05,7.391692105705218e-05,0.003712764083675494,0.51010101010101,0.005738958960655911,1782,0.00013595001794969885,False
pair_regime,GBPUSD,medium_vol,ALL,8,-0.00019984888540784288,-1.8748848490950864e-05,0.005882743878535792,0.4994388327721661,0.008128137612267309,1782,0.00019254719573026346,False
pair_regime,USDJPY,high_vol,ALL,1,0.0003589022039880645,0.00033453923055981925,0.004170512562034443,0.5303113052976516,0.006020399033323264,1831,0.00014069579091745963,False
pair_regime,USDJPY,high_vol,ALL,2,0.000260127563805244,0.0002027182261705442,0.003976256827288615,0.5270344074276352,0.005914059480334646,1831,0.00013821065207022878,False
pair_regime,USDJPY,high_vol,ALL,4,0.00028823579199925667,0.00036204885975651925,0.004752307461569831,0.5352266521026762,0.007194541084935756,1831,0.00016813530841234558,False
pair_regime,USDJPY,high_vol,ALL,8,0.00036181402135307693,0.0006532349126065697,0.0069621124083214655,0.5406881485527034,0.009762086584622008,1831,0.00022813844820348248,False
pair_regime,USDJPY,low_vol,ALL,1,-0.00012463650036597298,-3.009388148443469e-05,0.0024516883910628267,0.49027635619242577,0.0037711052503868556,1954,8.531126346053018e-05,False
pair_regime,USDJPY,low_vol,ALL,2,0.00023425142855475358,5.785414524965689e-05,0.002988102968676082,0.5099846390168971,0.004540570526836889,1953,0.00010274467060149464,False
pair_regime,USDJPY,low_vol,ALL,4,0.00032028028956071735,0.0002533077010064982,0.0035726848207344344,0.5356227575602255,0.005390662085632456,1951,0.00012204316845870525,False
pair_regime,USDJPY,low_vol,ALL,8,0.0008817514335161752,0.000768578490289668,0.005701677013447418,0.555441478439425,0.007874121219733358,1948,0.00017840524576409576,False
pair_regime,USDJPY,medium_vol,ALL,1,9.810119707366868e-07,5.559907477946312e-05,0.002971395927824563,0.5084848484848485,0.004544460149334732,1650,0.00011187687509555465,False
pair_regime,USDJPY,medium_vol,ALL,2,-9.964948969742202e-05,0.00011177951709431463,0.003331233828920097,0.5133333333333333,0.0051576089855154056,1650,0.000126971555983099,False
pair_regime,USDJPY,medium_vol,ALL,4,0.00021143313649569319,0.00035978447771703903,0.004020601697250644,0.5484848484848485,0.006234551937702438,1650,0.0001534840587199762,False
pair_regime,USDJPY,medium_vol,ALL,8,0.0003801548361693229,0.0007281759416030187,0.006155096203451492,0.5597331716191631,0.008693145773460623,1649,0.00021407533605711382,False
pair_regime_session,EURUSD,high_vol,asia,1,-0.00017653967930496856,0.00035672561557479915,0.00318893236830236,0.5420560747663551,0.004019861177951545,107,0.00038861464816238424,False
pair_regime_session,EURUSD,high_vol,asia,2,-0.0010927591048028463,-0.0008523504685682616,0.006421144929405929,0.4485981308411215,0.008708565921888135,107,0.0008418888443948848,False
pair_regime_session,EURUSD,high_vol,asia,4,-0.001066811288142151,-0.0008591820196637609,0.004882678299861375,0.411214953271028,0.006637240981647846,107,0.0006416463043548232,False
pair_regime_session,EURUSD,high_vol,asia,8,-0.0018088858751084578,-0.0014573664267619195,0.009220382269389467,0.4205607476635514,0.012129550703072986,107,0.001172607926039014,False
pair_regime_session,EURUSD,high_vol,london,1,-0.0002834417973544596,-0.0003104078006940248,0.0038862827726370117,0.46722846441947563,0.005202919654652402,1068,0.00015920675593564118,False
pair_regime_session,EURUSD,high_vol,london,2,5.9299830990391295e-05,-5.346673775603411e-05,0.0027503837690200437,0.49157303370786515,0.0036582845645810663,1068,0.00011194168975790034,False
pair_regime_session,EURUSD,high_vol,london,4,-0.0002984331480946377,-0.0001123870515192771,0.004944617292622572,0.4887640449438202,0.006555171584779521,1068,0.00020058499302041719,False
pair_regime_session,EURUSD,high_vol,london,8,-0.00029882055852623686,-0.00032422485995497953,0.005879709364871749,0.4812734082397004,0.007764719171844989,1068,0.00023759654812184624,False
pair_regime_session,EURUSD,high_vol,new_york,1,0.00013804889810114862,0.00011531652480880594,0.0039339844601070685,0.5085959885386819,0.0051246519488476186,698,0.00019397093687136745,False
pair_regime_session,EURUSD,high_vol,new_york,2,-0.00015451076543395158,9.988501923836526e-05,0.0031050162704504636,0.5100286532951289,0.0041353930949863706,698,0.00015652693704325984,False
pair_regime_session,EURUSD,high_vol,new_york,4,0.00010568785354096074,0.00013593922959538043,0.0017363425283556109,0.5358166189111748,0.002631308782373983,698,9.95965062231615e-05,False
pair_regime_session,EURUSD,high_vol,new_york,8,-0.000247994521932795,3.143100893539333e-05,0.004432696849740666,0.5050215208034433,0.005898540844394658,697,0.00022342316616851384,False
pair_regime_session,EURUSD,low_vol,asia,1,-7.972453020888572e-05,-7.039619860534572e-05,0.0018968436899331853,0.48663101604278075,0.0025322061488235186,1309,6.998891094169788e-05,False
pair_regime_session,EURUSD,low_vol,asia,2,-0.0001539795595395722,-4.9923253142856736e-05,0.004170745134324422,0.4954128440366973,0.005558094103686013,1308,0.00015368165312989687,False
pair_regime_session,EURUSD,low_vol,asia,4,-0.00017192667240752542,-0.0002208556579899125,0.003679520622659178,0.48241590214067276,0.004884535307489191,1308,0.00013505770985929575,False
pair_regime_session,EURUSD,low_vol,asia,8,-0.00030905130079899034,-0.0002603236748116277,0.005824197298127122,0.4831546707503829,0.007551243455726641,1306,0.00020895216911969897,False
