session,avg_return,median_return,avg_abs_return,avg_range,continuation_prob,reversal_prob,bullish_frac,bearish_frac,realized_vol,avg_directional_efficiency_ratio,avg_close_location_value,sample_count,low_sample
asia,-1.384238995764969e-05,1.2884172252313688e-05,0.0014535246359574509,0.003013401165351878,0.5815953165020125,0.41346505671423345,0.5040248810830589,0.49487742407610685,0.0003488574498383553,0.1911781818574921,0.508941346896857,5466,False
london,-4.210320073138073e-05,4.464106352764188e-06,0.0022219733200355384,0.004404274461966884,0.5648673376029277,0.4309240622140897,0.5010064043915828,0.4986276303751144,0.0005428931222008077,0.21694053038173786,0.5062266049822985,5465,False
new_york,4.959480589688571e-05,4.985209914761432e-05,0.0035061951026096796,0.00615279429142846,0.5200411099691675,0.4724220623501199,0.5089071599862967,0.4897225077081192,0.0004679803178290322,0.23495761583676109,0.5154821139625394,5838,False
