pair,session,avg_return,median_return,avg_abs_return,avg_range,continuation_prob,reversal_prob,bullish_frac,bearish_frac,realized_vol,avg_directional_efficiency_ratio,avg_close_location_value,sample_count,low_sample
EURUSD,asia,-4.3758626724874895e-05,-1.3214349341549751e-05,0.0011603729518234844,0.002415538552511452,0.5691547749725576,0.42590559824368823,0.49231613611416025,0.5060373216245884,0.0002854790703817413,0.1872177789045554,0.4898657800988892,1822,False
EURUSD,london,-0.00010182665042581727,-8.250846237028484e-05,0.0020900546588817435,0.004113339488582107,0.5625686059275521,0.43304061470911087,0.486827661909989,0.5126234906695939,0.0005117977460227987,0.21677270808117324,0.47937110579895714,1822,False
EURUSD,new_york,-5.834186448611495e-05,0.0,0.0029898186338517363,0.005297320614614254,0.5364077669902912,0.4524271844660194,0.4980582524271845,0.4995145631067961,0.00042422539192059355,0.24793339958766036,0.4942268872402963,2060,False
GBPUSD,asia,-5.540909806401412e-05,-4.1004455692540135e-06,0.0013825065416822558,0.002873743719770866,0.5746432491767288,0.41931942919868276,0.4972557628979144,0.5016465422612514,0.0003412544987734954,0.1897585278134925,0.4971435879047247,1822,False
GBPUSD,london,-0.00010336116610899954,-8.018515481189836e-05,0.002598908734874504,0.005216486710114602,0.5661724327292696,0.43108182317408017,0.4865458539264141,0.513454146073586,0.0006476343011466314,0.2137988872906963,0.4980464023163712,1821,False
GBPUSD,new_york,-1.0168673300159473e-05,-3.831880272938559e-06,0.0038107587945412163,0.0066917218955709285,0.5122699386503068,0.4815950920245399,0.49846625766871167,0.5005112474437627,0.0005204536612400291,0.23615814890543402,0.5051930886687269,1956,False
USDJPY,asia,5.764055491593993e-05,0.00010088360350674808,0.0018176944143666121,0.0037509212237733167,0.6009879253567508,0.3951701427003293,0.5225027442371021,0.4769484083424808,0.0004198387803598293,0.19655823885442839,0.5398146726869573,1822,False
USDJPY,london,7.884459306439712e-05,0.0001430969065029781,0.001977163446380465,0.0038834429678011708,0.5658616904500549,0.4286498353457739,0.5296377607025247,0.4698133918770582,0.0004693048063588687,0.22024827149063764,0.5412578171484357,1822,False
USDJPY,new_york,0.0002357895953032533,0.00027335832116772124,0.003763060604378768,0.006541451470646133,0.5098792535675082,0.48518111964873767,0.5323819978046103,0.4670691547749726,0.000461118236412717,0.2189980344925368,0.550559556620343,1822,False
