scope,pair,session,regime_dimension,regime_bucket,avg_return,median_return,avg_abs_return,avg_range,continuation_prob,reversal_prob,bullish_frac,bearish_frac,realized_vol,avg_directional_efficiency_ratio,avg_close_location_value,sample_count,low_sample
pair_session,EURUSD,asia,extreme_regime,intermediate,-9.189109891924444e-06,-6.737505626868373e-05,0.0010449453831966906,0.00229289252903495,0.5033557046979866,0.4865771812080537,0.46308724832214765,0.5302013422818792,0.00027824172128412274,0.17642366132644133,0.4788027037052509,298,False
pair_session,EURUSD,asia,extreme_regime,recent_extreme,-8.551539348028318e-05,-8.448762700932141e-05,0.001335045292078047,0.0027044661953338936,0.6534839924670434,0.3465160075329567,0.4689265536723164,0.5310734463276836,0.0003195728317003608,0.1914520448292418,0.494739105501344,531,False
pair_session,EURUSD,asia,extreme_regime,stale,-3.180381591832649e-05,2.6235357390939568e-05,0.0011016079999358831,0.0022978426176245245,0.5438066465256798,0.4501510574018127,0.513595166163142,0.48539778449144005,0.0002694195968378373,0.18819285627844218,0.49057983949123635,993,False
pair_session,EURUSD,asia,range_regime,compressed,-1.5428436972097824e-05,-9.319621064061648e-06,0.0005421645034247273,0.0015194916585745284,0.5975359342915811,0.39630390143737165,0.49075975359342916,0.5071868583162218,0.00022770228848690985,0.11259009162836835,0.49238196065040135,487,False
pair_session,EURUSD,asia,range_regime,expanded,-0.00010472344302428033,-0.0003167525553402373,0.001971840376202,0.0035140328450046538,0.5650623885918004,0.43315508021390375,0.47771836007130125,0.5222816399286988,0.0003558534821929416,0.2753509304255837,0.48061313732747984,561,False
pair_session,EURUSD,asia,range_regime,normal,-1.600597688959877e-05,2.3170782569956516e-05,0.0009583599045538074,0.0021820784568777245,0.5552665799739922,0.43823146944083224,0.5045513654096229,0.4928478543563069,0.00027075658613955023,0.16994630466201144,0.4958360214095373,769,False
pair_session,EURUSD,asia,range_regime,unknown,-0.000231224264517541,-0.0007997381168445422,0.0013968374806692912,0.002345609112697823,0.4,0.6,0.4,0.6,0.0002812466981706327,0.22376765744906968,0.364713199756052,5,True
pair_session,EURUSD,asia,volatility_regime,high,-3.1135677384518824e-05,-4.594751879902528e-06,0.0017584809744319767,0.003647190351148625,0.5855263157894737,0.41118421052631576,0.49506578947368424,0.5032894736842105,0.0004370378325785849,0.18995588174040529,0.4949783330604342,608,False
pair_session,EURUSD,asia,volatility_regime,low,-3.160842695799334e-05,-9.319621064061648e-06,0.0006863848308577029,0.0014532828039687678,0.5436573311367381,0.44481054365733114,0.4942339373970346,0.5024711696869851,0.00016663390181313745,0.18432173850830458,0.497363532295952,607,False
pair_session,EURUSD,asia,volatility_regime,medium,-6.855257146529268e-05,-1.8400533615391108e-05,0.0010352676992374321,0.00214411342202382,0.5782537067545305,0.42174629324546953,0.4876441515650741,0.5123558484349259,0.000252515791807543,0.18737120558713788,0.47724705228301345,607,False
pair_session,EURUSD,london,extreme_regime,intermediate,-0.00012784307808983648,-8.565859488212534e-05,0.002144379319529538,0.0041773041179506394,0.5375,0.45625,0.48333333333333334,0.5166666666666667,0.000519824717254753,0.21400585557251223,0.47248371247326504,480,False
pair_session,EURUSD,london,extreme_regime,recent_extreme,-9.150377583560933e-05,-0.00011681483005965257,0.00209873786474376,0.004118550713702082,0.583180987202925,0.41224862888482633,0.4826325411334552,0.5164533820840951,0.0005115270677070721,0.21900319244441488,0.4826299690600049,1094,False
pair_session,EURUSD,london,extreme_regime,stale,-9.700947108290704e-05,6.592305852075981e-05,0.001946606012414054,0.003966548753186344,0.5201612903225806,0.4798387096774194,0.5120967741935484,0.4879032258064516,0.0004974557133053268,0.21228859239879788,0.4783257525277713,248,False
pair_session,EURUSD,london,range_regime,compressed,1.937768457206263e-05,3.0526095450745925e-05,0.0009333420520299435,0.002617209103091069,0.5922330097087378,0.4077669902912621,0.5184466019417475,0.4815533980582524,0.00040841185924984756,0.12561169913393266,0.47709288404777656,515,False
pair_session,EURUSD,london,range_regime,expanded,-0.00016408681407524184,-0.00014886321316920278,0.0035895266878938777,0.005949771115489736,0.5567375886524822,0.4379432624113475,0.4929078014184397,0.5070921985815603,0.0006438697711001597,0.32431926900996877,0.4800956228655375,564,False
pair_session,EURUSD,london,range_regime,normal,-0.00013984848063656354,-0.00020924344312406957,0.0017485084626142795,0.003757342504723624,0.5474254742547425,0.44579945799457993,0.46070460704607047,0.537940379403794,0.0004840080098470997,0.19734266053451646,0.4807104909827246,738,False
pair_session,EURUSD,london,range_regime,unknown,4.909544355379321e-05,-0.000775479905947251,0.002503226861126098,0.0036104364964903842,0.4,0.6,0.4,0.6,0.0003645847144436197,0.3429795747653528,0.43460916793620186,5,True
pair_session,EURUSD,london,volatility_regime,high,-0.00018582548850528896,-0.00016753627552828864,0.0031650818890305537,0.00599704295639276,0.5542763157894737,0.4440789473684211,0.4868421052631579,0.5131578947368421,0.0007637869659077142,0.23330133846446766,0.47292029657394513,608,False
pair_session,EURUSD,london,volatility_regime,low,-3.7254518179399115e-05,-2.2329802247219257e-05,0.0012954512147742207,0.0026361788649781827,0.5551894563426688,0.4415156507413509,0.4942339373970346,0.5057660626029654,0.0003130768803070098,0.21009249963435148,0.4776590378040278,607,False
pair_session,EURUSD,london,volatility_regime,medium,-8.226156100449445e-05,-0.00012311227839797645,0.001807859823037905,0.0037036933437694284,0.5782537067545305,0.4135090609555189,0.4794069192751236,0.5189456342668863,0.000458114253105921,0.20689705611112016,0.48754461038170727,607,False
pair_session,EURUSD,new_york,extreme_regime,intermediate,-6.96059665063595e-05,-4.92068957963671e-05,0.0030308684618755304,0.00533162447477416,0.5251479289940828,0.4630177514792899,0.48372781065088755,0.5133136094674556,0.00042464867734938905,0.24385583177646797,0.4892977537959461,676,False
pair_session,EURUSD,new_york,extreme_regime,recent_extreme,0.0003914150584333804,0.0004946263963229876,0.002759412165519401,0.005154318151023877,0.6037735849056604,0.3915094339622642,0.5660377358490566,0.4339622641509434,0.00042900936403709767,0.25077854111855197,0.5083170308163744,212,False
pair_session,EURUSD,new_york,extreme_regime,stale,-0.00013320017053837407,-1.7075948677179533e-05,0.00300781904984352,0.005303401768891611,0.5307167235494881,0.45733788395904434,0.49402730375426623,0.5034129692832765,0.00042311588420850774,0.2497706571267534,0.4945212419930712,1172,False
