pair,lookback_window,event_type,context_type,context_value,horizon_bars,event_frequency_per_1000_bars,mean_forward_return,reversal_probability,sample_count,bars_observed,low_sample
EURUSD,48,sweep_high,volatility_regime,medium_vol,4,33.70065789473684,-7.917959046764144e-06,0.49731576378721326,2049,60800,False
EURUSD,48,sweep_high,volatility_regime,medium_vol,8,33.70065789473684,-2.5917446168807825e-05,0.5129331381161543,2049,60800,False
EURUSD,48,sweep_high,volatility_regime,unknown,1,30.208333333333332,0.0001395296386322853,0.3793103448275862,29,960,True
EURUSD,48,sweep_high,volatility_regime,unknown,2,30.208333333333332,0.0001479069223091068,0.41379310344827586,29,960,True
EURUSD,48,sweep_high,volatility_regime,unknown,4,30.208333333333332,-5.1978068462647665e-06,0.6206896551724138,29,960,True
EURUSD,48,sweep_high,volatility_regime,unknown,8,30.208333333333332,3.904062560096426e-05,0.5862068965517241,29,960,True
EURUSD,48,sweep_low,volatility_regime,high_vol,1,42.27011295128543,-6.109374879688544e-06,0.5209016393442623,2440,57724,False
EURUSD,48,sweep_low,volatility_regime,high_vol,2,42.27011295128543,-3.0510568374286786e-06,0.5274590163934426,2440,57724,False
EURUSD,48,sweep_low,volatility_regime,high_vol,4,42.27011295128543,-8.609061262593263e-06,0.5200819672131147,2440,57724,False
EURUSD,48,sweep_low,volatility_regime,high_vol,8,42.27011295128543,7.154418002951873e-06,0.5139344262295082,2440,57724,False
EURUSD,48,sweep_low,volatility_regime,low_vol,1,27.395272047751227,2.5282374605356316e-06,0.5099337748344371,1510,55119,False
EURUSD,48,sweep_low,volatility_regime,low_vol,2,27.395272047751227,8.358601320569107e-06,0.5052980132450331,1510,55119,False
EURUSD,48,sweep_low,volatility_regime,low_vol,4,27.395272047751227,5.387044858690032e-06,0.5099337748344371,1510,55119,False
EURUSD,48,sweep_low,volatility_regime,low_vol,8,27.395272047751227,4.82717860553025e-05,0.5218543046357615,1510,55119,False
EURUSD,48,sweep_low,volatility_regime,medium_vol,1,37.434210526315795,-5.5720718325321974e-06,0.5118629173989455,2276,60800,False
EURUSD,48,sweep_low,volatility_regime,medium_vol,2,37.434210526315795,-1.0887428611664651e-05,0.5061511423550088,2276,60800,False
EURUSD,48,sweep_low,volatility_regime,medium_vol,4,37.434210526315795,-1.3889444181688259e-05,0.5184534270650264,2276,60800,False
EURUSD,48,sweep_low,volatility_regime,medium_vol,8,37.434210526315795,-4.942844091362022e-05,0.5074692442882249,2276,60800,False
EURUSD,48,sweep_low,volatility_regime,unknown,1,22.916666666666664,7.952454021040101e-05,0.6363636363636364,22,960,True
EURUSD,48,sweep_low,volatility_regime,unknown,2,22.916666666666664,2.8406777516702577e-05,0.5454545454545454,22,960,True
EURUSD,48,sweep_low,volatility_regime,unknown,4,22.916666666666664,3.316694430906442e-05,0.5454545454545454,22,960,True
EURUSD,48,sweep_low,volatility_regime,unknown,8,22.916666666666664,7.117609560997839e-05,0.5454545454545454,22,960,True
EURUSD,96,sweep_high,volatility_regime,high_vol,1,25.98572517497055,-1.4143749482554347e-05,0.5153333333333333,1500,57724,False
EURUSD,96,sweep_high,volatility_regime,high_vol,2,25.98572517497055,-2.5991893252991423e-05,0.508,1500,57724,False
EURUSD,96,sweep_high,volatility_regime,high_vol,4,25.98572517497055,-4.4826629752917844e-05,0.508,1500,57724,False
EURUSD,96,sweep_high,volatility_regime,high_vol,8,25.98572517497055,-0.00010831532910002355,0.49933333333333335,1500,57724,False
EURUSD,96,sweep_high,volatility_regime,low_vol,1,15.076470908398193,1.2906462379311875e-06,0.53309265944645,831,55119,False
EURUSD,96,sweep_high,volatility_regime,low_vol,2,15.076470908398193,-1.141249872418789e-05,0.5270758122743683,831,55119,False
EURUSD,96,sweep_high,volatility_regime,low_vol,4,15.076470908398193,-7.445604422576468e-06,0.5270758122743683,831,55119,False
EURUSD,96,sweep_high,volatility_regime,low_vol,8,15.076470908398193,-2.9112388768119475e-05,0.5210589651022864,831,55119,False
EURUSD,96,sweep_high,volatility_regime,medium_vol,1,20.838815789473685,5.394150520914459e-06,0.5114443567482242,1267,60800,False
EURUSD,96,sweep_high,volatility_regime,medium_vol,2,20.838815789473685,-3.042564521740056e-05,0.5351223362273086,1267,60800,False
EURUSD,96,sweep_high,volatility_regime,medium_vol,4,20.838815789473685,-4.737970695788134e-05,0.510655090765588,1267,60800,False
EURUSD,96,sweep_high,volatility_regime,medium_vol,8,20.838815789473685,-7.422066851134852e-05,0.5343330702446725,1267,60800,False
EURUSD,96,sweep_high,volatility_regime,unknown,1,25.0,0.00022170164733525673,0.375,24,960,True
EURUSD,96,sweep_high,volatility_regime,unknown,2,25.0,0.00025483809823302915,0.375,24,960,True
EURUSD,96,sweep_high,volatility_regime,unknown,4,25.0,0.00023326224577268828,0.5416666666666666,24,960,True
EURUSD,96,sweep_high,volatility_regime,unknown,8,25.0,0.00048069436401730164,0.4583333333333333,24,960,True
EURUSD,96,sweep_low,volatility_regime,high_vol,1,27.25036380015245,-2.7369850998667746e-05,0.49841068022886204,1573,57724,False
EURUSD,96,sweep_low,volatility_regime,high_vol,2,27.25036380015245,-3.1261884318002266e-05,0.5092180546726002,1573,57724,False
EURUSD,96,sweep_low,volatility_regime,high_vol,4,27.25036380015245,-4.3112865396434156e-05,0.4996821360457724,1573,57724,False
EURUSD,96,sweep_low,volatility_regime,high_vol,8,27.25036380015245,-4.722716598819102e-06,0.5047679593134139,1573,57724,False
EURUSD,96,sweep_low,volatility_regime,low_vol,1,14.296340644786733,1.594572032352057e-06,0.5279187817258884,788,55119,False
EURUSD,96,sweep_low,volatility_regime,low_vol,2,14.296340644786733,1.5068318200986367e-06,0.5114213197969543,788,55119,False
EURUSD,96,sweep_low,volatility_regime,low_vol,4,14.296340644786733,2.6671467444397473e-06,0.5139593908629442,788,55119,False
EURUSD,96,sweep_low,volatility_regime,low_vol,8,14.296340644786733,2.682922071291662e-05,0.5076142131979695,788,55119,False
EURUSD,96,sweep_low,volatility_regime,medium_vol,1,24.802631578947366,-5.259396803140939e-06,0.506631299734748,1508,60800,False
EURUSD,96,sweep_low,volatility_regime,medium_vol,2,24.802631578947366,-1.5892915768786225e-05,0.5119363395225465,1508,60800,False
EURUSD,96,sweep_low,volatility_regime,medium_vol,4,24.802631578947366,-1.6028292802038688e-05,0.5205570291777188,1508,60800,False
EURUSD,96,sweep_low,volatility_regime,medium_vol,8,24.802631578947366,-2.974912371304542e-05,0.5159151193633952,1508,60800,False
EURUSD,96,sweep_low,volatility_regime,unknown,1,14.583333333333334,6.886157991351547e-05,0.6428571428571429,14,960,True
EURUSD,96,sweep_low,volatility_regime,unknown,2,14.583333333333334,3.0536339858805867e-06,0.5,14,960,True
EURUSD,96,sweep_low,volatility_regime,unknown,4,14.583333333333334,5.7880348258377074e-05,0.5714285714285714,14,960,True
EURUSD,96,sweep_low,volatility_regime,unknown,8,14.583333333333334,7.225421984194845e-05,0.5714285714285714,14,960,True
GBPUSD,24,sweep_high,volatility_regime,high_vol,1,50.630015486414194,-1.015195778883203e-06,0.51338199513382,2877,56824,False
GBPUSD,24,sweep_high,volatility_regime,high_vol,2,50.630015486414194,-2.4085664298522197e-05,0.516162669447341,2877,56824,False
GBPUSD,24,sweep_high,volatility_regime,high_vol,4,50.630015486414194,-4.994296279857301e-05,0.5126868265554397,2877,56824,False
GBPUSD,24,sweep_high,volatility_regime,high_vol,8,50.630015486414194,-2.3412096978557738e-05,0.5109489051094891,2877,56824,False
GBPUSD,24,sweep_high,volatility_regime,low_vol,1,53.03523368924695,1.8188357180538758e-06,0.5041459369817579,3015,56849,False
GBPUSD,24,sweep_high,volatility_regime,low_vol,2,53.03523368924695,-3.3762496256967908e-06,0.512106135986733,3015,56849,False
GBPUSD,24,sweep_high,volatility_regime,low_vol,4,53.03523368924695,-3.6925180722151478e-06,0.4975124378109453,3015,56849,False
GBPUSD,24,sweep_high,volatility_regime,low_vol,8,53.03523368924695,1.2870604191423033e-06,0.5011608623548922,3015,56849,False
GBPUSD,24,sweep_high,volatility_regime,medium_vol,1,48.43070412601387,2.547226958231732e-06,0.49826629680998613,2884,59549,False
GBPUSD,24,sweep_high,volatility_regime,medium_vol,2,48.43070412601387,4.120425004060727e-06,0.5079750346740638,2884,59549,False
GBPUSD,24,sweep_high,volatility_regime,medium_vol,4,48.43070412601387,2.659964862898532e-05,0.5083217753120666,2884,59549,False
GBPUSD,24,sweep_high,volatility_regime,medium_vol,8,48.43070412601387,2.3777642740507647e-05,0.5038141470180305,2884,59549,False
GBPUSD,24,sweep_high,volatility_regime,unknown,1,61.45833333333333,0.00010176167065224587,0.4067796610169492,59,960,False
GBPUSD,24,sweep_high,volatility_regime,unknown,2,61.45833333333333,9.507090650850412e-05,0.5084745762711864,59,960,False
GBPUSD,24,sweep_high,volatility_regime,unknown,4,61.45833333333333,0.00025038091518468647,0.4745762711864407,59,960,False
GBPUSD,24,sweep_high,volatility_regime,unknown,8,61.45833333333333,0.00026190385019741444,0.4745762711864407,59,960,False
GBPUSD,24,sweep_low,volatility_regime,high_vol,1,54.51921723215543,-3.0618918637775408e-06,0.5058102001291156,3098,56824,False
GBPUSD,24,sweep_low,volatility_regime,high_vol,2,54.51921723215543,-2.22425695250303e-05,0.49967721110393803,3098,56824,False
