pair,lookback_window,event_class,event_side,horizon_bars,mean_forward_return,mean_abs_forward_return,continuation_probability,reversal_probability,sample_count,low_sample
EURUSD,24,breakout,high,1,-1.854250891336373e-05,0.0003507283881018466,0.4563419611212544,0.5368918483514123,9311,False
EURUSD,24,breakout,high,2,-2.8346846201321765e-05,0.0004842703077555744,0.4619267533025454,0.5343142519600472,9311,False
EURUSD,24,breakout,high,4,-5.014622790092666e-05,0.0006824570823398282,0.4591343572118999,0.537751047148534,9311,False
EURUSD,24,breakout,high,8,-6.794337061102692e-05,0.0009705131612804001,0.46396735044570936,0.5346364515089679,9311,False
EURUSD,24,breakout,low,1,2.770756435845672e-05,0.00036788919750160084,0.4492307692307692,0.5445054945054945,9100,False
EURUSD,24,breakout,low,2,3.867905995963464e-05,0.0005124124641590936,0.4573626373626374,0.5381318681318681,9100,False
EURUSD,24,breakout,low,4,3.437809011150198e-05,0.0007087401108180405,0.46824175824175823,0.5289010989010989,9100,False
EURUSD,24,breakout,low,8,3.367971148373885e-05,0.0009972154733856274,0.47285714285714286,0.5253846153846153,9100,False
EURUSD,24,sweep,high,1,-2.0367082006678297e-07,0.00033705629002038457,0.48430141287284145,0.5084099573895492,8918,False
EURUSD,24,sweep,high,2,-8.534276586446388e-06,0.00047298637427818196,0.48407714734245344,0.5118860731105629,8918,False
EURUSD,24,sweep,high,4,-2.218740904170594e-05,0.0006660170622691635,0.48631980264633323,0.510764745458623,8918,False
EURUSD,24,sweep,high,8,-4.210869082731983e-05,0.0009350090981343651,0.489235254541377,0.5082978246243552,8918,False
EURUSD,24,sweep,low,1,2.8229156725955863e-06,0.00035482564876674385,0.480674709562109,0.5139633601429848,8952,False
EURUSD,24,sweep,low,2,5.421899155963483e-06,0.000483528691986681,0.47788203753351205,0.5187667560321716,8952,False
EURUSD,24,sweep,low,4,6.666160453995451e-06,0.0006777867673076196,0.4785522788203753,0.5184316353887399,8952,False
EURUSD,24,sweep,low,8,9.973907993557462e-06,0.0009601440763264206,0.48402591599642536,0.5145218945487042,8952,False
EURUSD,48,breakout,high,1,-2.3820792706672272e-05,0.0003785136705228389,0.45421648835745754,0.5401195720578981,6356,False
EURUSD,48,breakout,high,2,-3.883275493018345e-05,0.0005274353739319242,0.45641913152926367,0.5407488986784141,6356,False
EURUSD,48,breakout,high,4,-7.167356773997416e-05,0.000742159325707612,0.45578980490874765,0.5415355569540592,6356,False
EURUSD,48,breakout,high,8,-9.881514629184082e-05,0.001051483432015217,0.45531780994336063,0.5434235368156073,6356,False
EURUSD,48,breakout,low,1,3.3670380439128694e-05,0.0003976877643427271,0.4457124742431447,0.548581391662704,6309,False
EURUSD,48,breakout,low,2,4.3430995697299936e-05,0.0005530544692887117,0.461245839277223,0.5335235378031383,6309,False
EURUSD,48,breakout,low,4,3.577903122169344e-05,0.0007680278424958419,0.4699635441432874,0.527183388809637,6309,False
EURUSD,48,breakout,low,8,3.6293417621329716e-05,0.0010833396845962601,0.47091456649231256,0.527183388809637,6309,False
EURUSD,48,sweep,high,1,-1.2034300417179644e-06,0.00037517572437613714,0.48196129878648736,0.5116431616923581,6098,False
EURUSD,48,sweep,high,2,-1.5282419380307554e-05,0.0005231327089335495,0.4813053460150869,0.5154148901279108,6098,False
