pair,event_type,lookback_window,horizon_bars,mean_return,median_return,mean_abs_return,positive_fraction,sample_count,low_sample
EURUSD,breakout_high,24,1,-1.854250891336373e-05,-3.346272252695252e-05,0.0003507283881018466,0.4563419611212544,9311,False
EURUSD,breakout_high,24,2,-2.8346846201321765e-05,-3.7565034466165216e-05,0.0004842703077555744,0.4619267533025454,9311,False
EURUSD,breakout_high,24,4,-5.014622790092666e-05,-5.8638989063654684e-05,0.0006824570823398282,0.4591343572118999,9311,False
EURUSD,breakout_high,24,8,-6.794337061102692e-05,-6.417455478903946e-05,0.0009705131612804001,0.46396735044570936,9311,False
EURUSD,breakout_high,48,1,-2.3820792706672272e-05,-3.847446841487383e-05,0.0003785136705228389,0.45421648835745754,6356,False
EURUSD,breakout_high,48,2,-3.883275493018345e-05,-4.933905572697099e-05,0.0005274353739319242,0.45641913152926367,6356,False
EURUSD,breakout_high,48,4,-7.167356773997416e-05,-7.683406370166631e-05,0.000742159325707612,0.45578980490874765,6356,False
EURUSD,breakout_high,48,8,-9.881514629184082e-05,-9.672227542010378e-05,0.001051483432015217,0.45531780994336063,6356,False
EURUSD,breakout_high,96,1,-2.4457367242403733e-05,-4.145612329958565e-05,0.00040498146895784077,0.4549212089899251,3871,False
EURUSD,breakout_high,96,2,-4.61296863123474e-05,-5.905030242173089e-05,0.0005641645013074936,0.4533712219064841,3871,False
EURUSD,breakout_high,96,4,-8.098395777576143e-05,-8.982304859422791e-05,0.0007833677101521296,0.45207956600361665,3871,False
EURUSD,breakout_high,96,8,-0.00010613817520750358,-0.00010120479710743303,0.0010869319784761128,0.45207956600361665,3871,False
EURUSD,breakout_low,24,1,2.770756435845672e-05,4.0448315396122694e-05,0.00036788919750160084,0.5445054945054945,9100,False
EURUSD,breakout_low,24,2,3.867905995963464e-05,4.629670385463182e-05,0.0005124124641590936,0.5381318681318681,9100,False
EURUSD,breakout_low,24,4,3.437809011150198e-05,4.8581798909426625e-05,0.0007087401108180405,0.5289010989010989,9100,False
EURUSD,breakout_low,24,8,3.367971148373885e-05,5.976757387765088e-05,0.0009972154733856274,0.5253846153846153,9100,False
EURUSD,breakout_low,48,1,3.3670380439128694e-05,4.831151263358201e-05,0.0003976877643427271,0.548581391662704,6309,False
EURUSD,breakout_low,48,2,4.3430995697299936e-05,4.5201008886413e-05,0.0005530544692887117,0.5335235378031383,6309,False
EURUSD,breakout_low,48,4,3.577903122169344e-05,5.528272506974744e-05,0.0007680278424958419,0.527183388809637,6309,False
EURUSD,breakout_low,48,8,3.6293417621329716e-05,7.657358721743966e-05,0.0010833396845962601,0.527183388809637,6309,False
EURUSD,breakout_low,96,1,3.915783545935485e-05,5.098550736967555e-05,0.00041521374866866346,0.5496823379923761,3935,False
EURUSD,breakout_low,96,2,5.2993980344485826e-05,4.775051657389026e-05,0.0005694494738596596,0.5349428208386277,3935,False
EURUSD,breakout_low,96,4,4.391378023565114e-05,7.372840191510887e-05,0.0007853420088770896,0.5341804320203304,3935,False
EURUSD,breakout_low,96,8,6.046073845306703e-05,8.322044633871778e-05,0.0010857317719250572,0.5326556543837357,3935,False
EURUSD,sweep_high,24,1,-2.0367082006678297e-07,-8.98331459789473e-06,0.00033705629002038457,0.48430141287284145,8918,False
EURUSD,sweep_high,24,2,-8.534276586446388e-06,-1.4919498441837725e-05,0.00047298637427818196,0.48407714734245344,8918,False
EURUSD,sweep_high,24,4,-2.218740904170594e-05,-1.801524940678734e-05,0.0006660170622691635,0.48631980264633323,8918,False
EURUSD,sweep_high,24,8,-4.210869082731983e-05,-2.12343259504495e-05,0.0009350090981343651,0.489235254541377,8918,False
EURUSD,sweep_high,48,1,-1.2034300417179644e-06,-1.263605145462024e-05,0.00037517572437613714,0.48196129878648736,6098,False
EURUSD,sweep_high,48,2,-1.5282419380307554e-05,-2.2996692574124936e-05,0.0005231327089335495,0.4813053460150869,6098,False
EURUSD,sweep_high,48,4,-3.289824635155564e-05,-1.3331918439165647e-05,0.0007374550487956369,0.4901607084289931,6098,False
EURUSD,sweep_high,48,8,-6.405242995621634e-05,-3.306172538682245e-05,0.0010219872971290271,0.48655296818629057,6098,False
EURUSD,sweep_high,96,1,-2.2053751943859545e-06,-1.8388449877532773e-05,0.00039914380989516506,0.47736057426836004,3622,False
EURUSD,sweep_high,96,2,-2.2337052582037848e-05,-3.16926270567717e-05,0.0005556491833700358,0.47653230259525126,3622,False
EURUSD,sweep_high,96,4,-3.5300672755833515e-05,-2.7495823721930164e-05,0.0007800945033362826,0.48371065709552735,3622,False
EURUSD,sweep_high,96,8,-7.431427691435835e-05,-4.528268924353951e-05,0.0010427140959341414,0.4826062948647156,3622,False
EURUSD,sweep_low,24,1,2.8229156725955863e-06,1.3230258839796778e-05,0.00035482564876674385,0.5139633601429848,8952,False
EURUSD,sweep_low,24,2,5.421899155963483e-06,2.262428789582205e-05,0.000483528691986681,0.5187667560321716,8952,False
EURUSD,sweep_low,24,4,6.666160453995451e-06,2.8687389381506637e-05,0.0006777867673076196,0.5184316353887399,8952,False
EURUSD,sweep_low,24,8,9.973907993557462e-06,3.6876277854082506e-05,0.0009601440763264206,0.5145218945487042,8952,False
EURUSD,sweep_low,48,1,-3.5246049531443198e-06,1.3859000997805992e-05,0.00038915324425352105,0.5153649167733675,6248,False
EURUSD,sweep_low,48,2,-3.037440637651711e-06,2.0404802109531406e-05,0.000533578986752061,0.514404609475032,6248,False
EURUSD,sweep_low,48,4,-7.002940769338773e-06,2.9075136530061605e-05,0.0007407952264031069,0.5171254801536491,6248,False
EURUSD,sweep_low,48,8,-3.2948272319575445e-06,3.813793253164643e-05,0.0010519000589825848,0.5136043533930857,6248,False
EURUSD,sweep_low,96,1,-1.2558166654586211e-05,9.001588780478717e-06,0.00040888272382937145,0.5081122843162503,3883,False
EURUSD,sweep_low,96,2,-1.851952785513962e-05,1.420703437617028e-05,0.0005508610038462554,0.5106876126706155,3883,False
EURUSD,sweep_low,96,4,-2.293978014520461e-05,1.8525122381711095e-05,0.0007600792324490208,0.510945145506052,3883,False
EURUSD,sweep_low,96,8,-7.761402722031764e-06,3.3393919444332096e-05,0.0010502606296849733,0.509915014164306,3883,False
GBPUSD,breakout_high,24,1,-1.4677527469437096e-05,-2.804498415458976e-05,0.00042855031713794187,0.4636823415474013,9293,False
GBPUSD,breakout_high,24,2,-2.1144873930543614e-05,-4.244924421060866e-05,0.0005983113365408819,0.46615732271602284,9293,False
GBPUSD,breakout_high,24,4,-4.093727470380715e-05,-5.734580668349875e-05,0.0008362393706931858,0.4670181857311955,9293,False
GBPUSD,breakout_high,24,8,-5.5741536663351976e-05,-5.50840622135251e-05,0.0011659894134310777,0.47713332615947485,9293,False
GBPUSD,breakout_high,48,1,-2.338773335377396e-05,-3.216998620715059e-05,0.00045501834053043595,0.4614086235998159,6517,False
GBPUSD,breakout_high,48,2,-3.268519375547975e-05,-4.3762109174283944e-05,0.0006372568438868652,0.46739297222648457,6517,False
GBPUSD,breakout_high,48,4,-5.223592980424241e-05,-6.14097511462562e-05,0.0008903075485974957,0.4663188583704158,6517,False
GBPUSD,breakout_high,48,8,-7.979531886286252e-05,-7.746819192930602e-05,0.0012488593875090057,0.4715359828141783,6517,False
GBPUSD,breakout_high,96,1,-1.6535946915267958e-05,-2.6826604326753594e-05,0.00046925822466806254,0.46866485013623976,4037,False
GBPUSD,breakout_high,96,2,-2.583504892312425e-05,-3.554839321268426e-05,0.0006576127305131467,0.46916026752539014,4037,False
GBPUSD,breakout_high,96,4,-3.919389968714087e-05,-6.406637276224568e-05,0.0009173305254816542,0.46816943274708944,4037,False
GBPUSD,breakout_high,96,8,-5.6704325421115244e-05,-5.501942185578691e-05,0.0012713582564631174,0.47981174139212285,4037,False
